City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Joao Da Barra,BR,69.06,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
3,Kulhudhuffushi,MV,81.72,broken clouds,6.6221,73.07,Haajy Guest House 1
4,East Stroudsburg,US,77.88,overcast clouds,40.9995,-75.1813,Hampton Inn Stroudsburg/Poconos
5,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
10,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
11,Normandin,CA,66.51,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
12,Stillwater,US,91.67,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
15,Rikitea,PF,74.03,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
18,Bengkulu,ID,81.18,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,San Cristobal,VE,68.18,scattered clouds,7.7669,-72.225,Pirineos
24,Albany,US,71.46,overcast clouds,42.6001,-73.9662,
26,Saint George,US,72.19,light rain,37.1041,-113.5841,Best Western Plus Abbey Inn
28,Orhangazi,TR,69.51,clear sky,40.4892,29.3089,Otel Familia
29,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Lakatoro,VU,82.02,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
35,Labuhan,ID,84.9,overcast clouds,-6.8844,112.2051,DoubleFAG
37,Chifeng,CN,66.47,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
39,Katsuura,JP,83.19,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
40,Ribeira Grande,PT,72.55,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
41,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
42,Vostok,RU,82.63,scattered clouds,46.4856,135.8833,
44,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
45,Tezu,IN,78.28,overcast clouds,27.9167,96.1667,Circuit House
48,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Puqi,CN,86.11,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
50,Tual,ID,79.14,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
53,Manga,BF,76.28,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
