City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.06,82,0,10.04,clear sky
1,Port Elizabeth,ZA,-33.918,25.5701,60.1,93,75,1.14,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,39.31,75,20,34.52,few clouds
3,Kulhudhuffushi,MV,6.6221,73.07,81.72,75,57,15.82,broken clouds
4,East Stroudsburg,US,40.9995,-75.1813,77.88,83,100,3.42,overcast clouds
5,Natal,BR,-5.795,-35.2094,75.42,88,0,4.61,clear sky
6,Livingston,GB,55.9029,-3.5226,52.11,92,40,2.3,scattered clouds
7,Krasnoselkup,RU,65.7,82.4667,57.63,68,92,18.07,overcast clouds
8,Necochea,AR,-38.5473,-58.7368,49.46,96,100,16.4,moderate rain
9,Ushuaia,AR,-54.8,-68.3,40.66,81,75,23.02,light rain
10,Georgetown,MY,5.4112,100.3354,85.93,79,20,4.61,few clouds
11,Normandin,CA,48.8333,-72.5321,66.51,82,100,2.3,overcast clouds
12,Stillwater,US,36.1156,-97.0584,91.67,51,0,12.66,clear sky
13,Sikonge,TZ,-5.6333,32.7667,61.93,67,63,5.88,broken clouds
14,Talnakh,RU,69.4865,88.3972,56.21,63,93,11.88,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,74.03,68,100,15.84,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,47.48,98,100,3.31,light rain
17,Atuona,PF,-9.8,-139.0333,76.87,75,31,22.86,light rain
18,Bengkulu,ID,-3.8004,102.2655,81.18,72,47,1.7,scattered clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,51.1,58,100,13.8,overcast clouds
20,Dalvik,IS,65.9702,-18.5286,53.53,82,5,9.89,clear sky
21,Constitucion,CL,-35.3333,-72.4167,48.24,76,6,4.7,clear sky
22,San Cristobal,VE,7.7669,-72.225,68.18,95,35,2.08,scattered clouds
23,Tuatapere,NZ,-46.1333,167.6833,44.56,94,100,1.77,moderate rain
24,Albany,US,42.6001,-73.9662,71.46,75,96,2.08,overcast clouds
25,Qaanaaq,GL,77.484,-69.3632,37.69,90,41,2.46,scattered clouds
26,Saint George,US,37.1041,-113.5841,72.19,83,20,11.5,light rain
27,Bredasdorp,ZA,-34.5322,20.0403,48.56,92,0,5.68,clear sky
28,Orhangazi,TR,40.4892,29.3089,69.51,55,0,4.76,clear sky
29,Kapaa,US,22.0752,-159.319,85.98,69,20,17.27,few clouds
30,Port Alfred,ZA,-33.5906,26.891,64.04,80,86,19.44,overcast clouds
31,Busselton,AU,-33.65,115.3333,62.35,68,33,12.97,scattered clouds
32,Lakatoro,VU,-16.0999,167.4164,82.02,73,95,5.99,overcast clouds
33,Ancud,CL,-41.8697,-73.8203,43.0,92,27,4.09,scattered clouds
34,Port Lincoln,AU,-34.7333,135.8667,58.3,67,3,8.77,clear sky
35,Labuhan,ID,-6.8844,112.2051,84.9,64,99,7.96,overcast clouds
36,Upernavik,GL,72.7868,-56.1549,40.28,84,100,1.92,overcast clouds
37,Chifeng,CN,42.2683,118.9636,66.47,82,100,1.9,overcast clouds
38,New Norfolk,AU,-42.7826,147.0587,51.71,73,95,4.0,overcast clouds
39,Katsuura,JP,35.1333,140.3,83.19,78,68,12.08,broken clouds
40,Ribeira Grande,PT,38.5167,-28.7,72.55,84,30,10.54,scattered clouds
41,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,0,5.21,clear sky
42,Vostok,RU,46.4856,135.8833,82.63,50,49,4.76,scattered clouds
43,Chokurdakh,RU,70.6333,147.9167,61.14,34,98,14.07,overcast clouds
44,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,93,77,3.38,broken clouds
45,Tezu,IN,27.9167,96.1667,78.28,97,100,1.01,overcast clouds
46,Susehri,TR,40.1644,38.0867,56.12,78,0,1.12,clear sky
47,Kodiak,US,57.79,-152.4072,62.11,51,0,5.75,clear sky
48,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,98,5.01,overcast clouds
49,Puqi,CN,29.7167,113.8833,86.11,76,100,1.57,overcast clouds
50,Tual,ID,-5.6667,132.75,79.14,83,46,21.41,scattered clouds
51,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,75,10.36,broken clouds
52,Rypefjord,NO,70.6333,23.6667,46.87,100,100,8.05,drizzle
53,Manga,BF,11.6636,-1.0731,76.28,79,51,9.48,broken clouds
54,Ossora,RU,59.2353,163.0719,56.19,72,100,6.11,overcast clouds
55,Jamestown,US,42.097,-79.2353,72.99,73,100,8.05,overcast clouds
56,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,19.57,broken clouds
57,Chuy,UY,-33.6971,-53.4616,58.8,98,100,5.61,overcast clouds
58,Butaritari,KI,3.0707,172.7902,82.09,77,8,13.44,clear sky
59,Norman Wells,CA,65.282,-126.8329,64.44,48,75,2.3,broken clouds
60,Dois Vizinhos,BR,-25.7336,-53.0572,59.77,92,66,2.59,broken clouds
61,Tres Arroyos,AR,-38.3739,-60.2798,48.83,93,100,13.78,overcast clouds
62,Severo-Kurilsk,RU,50.6789,156.125,55.35,87,96,6.58,overcast clouds
63,West Bay,KY,19.3667,-81.4167,84.27,82,20,9.22,few clouds
64,Hasaki,JP,35.7333,140.8333,93.29,79,76,16.11,broken clouds
65,The Valley,AI,18.217,-63.0578,82.26,69,1,20.02,clear sky
66,Anadyr,RU,64.75,177.4833,52.3,81,75,13.42,broken clouds
67,Moyale,KE,3.5167,39.0584,63.0,71,98,11.65,overcast clouds
68,Thompson,CA,55.7435,-97.8558,60.96,77,75,3.44,broken clouds
69,High Level,CA,58.5169,-117.136,84.31,42,20,4.61,few clouds
70,Pemagatsel,BT,27.0319,91.4266,70.0,81,72,3.58,broken clouds
71,Hobart,AU,-42.8794,147.3294,52.05,65,92,1.01,overcast clouds
72,Esperance,AU,-33.8667,121.9,60.03,53,0,17.87,clear sky
73,Kavieng,PG,-2.5744,150.7967,84.92,71,18,17.94,light rain
74,Jishou,CN,28.3167,109.7167,90.77,62,87,1.66,overcast clouds
75,Peleduy,RU,59.6289,112.7406,83.07,55,68,1.77,broken clouds
76,Nicoya,CR,10.1483,-85.452,73.98,96,100,1.23,moderate rain
77,Rio Grande,BR,-32.035,-52.0986,60.17,96,96,7.49,overcast clouds
78,Ayan,RU,56.45,138.1667,59.61,86,38,11.07,scattered clouds
79,Lompoc,US,34.6391,-120.4579,66.85,85,75,12.66,broken clouds
80,Salalah,OM,17.0151,54.0924,77.09,94,100,8.05,haze
81,Cape Town,ZA,-33.9258,18.4232,59.38,78,0,3.0,clear sky
82,Isangel,VU,-19.55,169.2667,77.79,81,100,11.5,moderate rain
83,Dikson,RU,73.5069,80.5464,40.51,94,70,13.56,broken clouds
84,Carnarvon,AU,-24.8667,113.6333,73.98,47,100,3.65,overcast clouds
85,Vila Velha,BR,-20.3297,-40.2925,66.94,89,40,2.3,scattered clouds
86,Galesong,ID,-5.3166,119.3661,86.02,63,60,2.84,broken clouds
87,Hami,CN,42.8,93.45,91.87,10,0,9.78,clear sky
88,Mnogovershinnyy,RU,53.9353,139.9242,73.0,51,42,2.24,scattered clouds
89,Sovetskaya Gavan,RU,48.9723,140.2878,68.54,73,94,6.69,overcast clouds
90,Xichang,CN,27.8964,102.2634,76.73,66,27,2.89,scattered clouds
91,Calama,CL,-22.4667,-68.9333,46.89,19,74,14.97,broken clouds
92,Ojinaga,MX,29.5667,-104.4167,88.75,45,40,11.5,scattered clouds
93,North Bend,US,43.4065,-124.2243,66.92,92,100,4.61,overcast clouds
94,Poquoson,US,37.1224,-76.3458,83.08,80,40,9.22,scattered clouds
95,La Ronge,CA,55.1001,-105.2842,70.02,42,20,2.3,few clouds
96,Inongo,CD,-1.95,18.2667,68.29,77,92,2.39,overcast clouds
97,Erenhot,CN,43.6475,111.9767,84.09,21,18,10.11,few clouds
98,Nyurba,RU,63.2842,118.3319,86.67,43,30,7.99,scattered clouds
99,Geraldton,AU,-28.7667,114.6,63.01,72,100,9.22,overcast clouds
100,Hilo,US,19.7297,-155.09,86.29,75,75,8.05,broken clouds
101,Marang,MY,5.2056,103.2059,82.31,65,76,5.79,broken clouds
102,Nadym,RU,65.5333,72.5167,63.63,52,31,9.55,scattered clouds
103,Pisco,PE,-13.7,-76.2167,59.05,82,20,4.61,few clouds
104,Bluff,NZ,-46.6,168.3333,47.8,86,100,12.1,overcast clouds
105,Alofi,NU,-19.0595,-169.9187,76.89,83,75,16.11,smoke
106,Namibe,AO,-15.1961,12.1522,61.59,79,79,6.98,broken clouds
107,Jiwani,PK,25.05,61.7417,82.4,78,100,8.43,overcast clouds
108,Coquimbo,CL,-29.9533,-71.3436,53.33,100,40,3.44,scattered clouds
109,Provideniya,RU,64.3833,-173.3,44.71,100,100,7.0,mist
110,Qandala,SO,11.472,49.8728,87.39,49,100,6.73,overcast clouds
111,Jiangyan,CN,32.5061,120.1428,91.81,65,0,5.7,clear sky
112,Francistown,BW,-21.17,27.5079,53.96,50,0,7.81,clear sky
113,Gorlice,PL,49.6556,21.1604,63.28,83,78,4.03,broken clouds
114,Kawerau,NZ,-38.1,176.7,59.38,94,99,6.82,moderate rain
115,Bowen,AU,-20.0167,148.2333,66.88,42,0,7.31,clear sky
116,Hoquiam,US,46.9809,-123.8893,66.36,90,100,9.22,overcast clouds
117,Fairbanks,US,64.8378,-147.7164,61.14,62,75,13.8,light intensity shower rain
118,Henties Bay,NA,-22.116,14.2845,53.47,82,2,4.18,clear sky
119,Pont-A-Mousson,FR,48.9079,6.0589,62.51,66,0,3.44,clear sky
120,Lixourion,GR,38.2019,20.4314,78.96,66,9,4.41,clear sky
121,Altamira,BR,-3.2033,-52.2064,77.0,71,100,1.99,overcast clouds
122,Derzhavinsk,KZ,51.1,66.3167,67.57,72,100,18.41,overcast clouds
123,Tasiilaq,GL,65.6145,-37.6368,42.96,95,86,7.74,overcast clouds
124,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,83,0,10.36,clear sky
125,Saskylakh,RU,71.9167,114.0833,70.92,58,85,10.11,overcast clouds
