City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Asbe Teferi,9.0833,40.8667,61.03,85,66,7.54,ET,2022-07-21 21:07:09
1,Khatanga,71.9667,102.5,50.79,85,100,13.96,RU,2022-07-21 21:07:09
2,Mount Isa,-20.7333,139.5,46.17,46,0,6.91,AU,2022-07-21 21:07:10
3,Qaanaaq,77.484,-69.3632,43.74,80,100,7.96,GL,2022-07-21 21:07:10
4,Huambo,-12.7761,15.7392,60.85,33,71,2.15,AO,2022-07-21 21:07:10
5,Thompson,55.7435,-97.8558,58.33,81,100,6.73,CA,2022-07-21 21:07:11
6,Geraldton,-28.7667,114.6,54.01,87,100,8.05,AU,2022-07-21 21:02:38
7,Puerto Ayora,-0.7393,-90.3518,80.56,87,58,4.0,EC,2022-07-21 21:07:11
8,Busselton,-33.65,115.3333,57.81,78,67,10.85,AU,2022-07-21 21:07:11
9,Coffs Harbour,-30.3,153.1333,60.76,82,75,17.27,AU,2022-07-21 21:07:03
10,Cabedelo,-6.9811,-34.8339,75.87,84,99,10.45,BR,2022-07-21 21:07:12
11,Rikitea,-23.1203,-134.9692,74.62,79,91,21.59,PF,2022-07-21 21:07:12
12,Pacific Grove,36.6177,-121.9166,79.25,81,40,9.22,US,2022-07-21 21:07:12
13,Albany,42.6001,-73.9662,93.85,43,30,1.99,US,2022-07-21 21:03:26
14,Katsuura,35.1333,140.3,78.55,90,51,14.52,JP,2022-07-21 21:07:13
15,Saint-Philippe,-21.3585,55.7679,64.22,84,49,14.83,RE,2022-07-21 21:02:56
16,Nakhon Phanom,17.3333,104.4167,73.54,95,100,6.42,TH,2022-07-21 21:07:13
17,Catamarca,-28.4696,-65.7852,70.59,38,37,3.89,AR,2022-07-21 21:07:14
18,Mataura,-46.1927,168.8643,37.47,95,100,0.38,NZ,2022-07-21 21:07:14
19,Odesskoye,54.2111,72.9651,59.45,82,5,14.14,RU,2022-07-21 21:07:14
